Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
E:/CHTPT_code_me/static/Boat/Boat1.wav,"[49.85324, 46.32724, 46.06067, 47.307735, 46.383163, 45.472095, 45.619255]","[43500.330488669664, 9.360053179331036, 10.646027731681464, 9.635845742776015, 9.718630005261817, 9.186747831492019, 11.7512300654891]","[53.900226757369616, 46.585034013605444, 50.131519274376416, 53.59183673469388, 53.532879818594104, 49.342403628117914, 49.332659513813304]","[(828, 3362.0677853437746), (40943, 65.9046834979433), (44164, 45.57491689156132), (86655, 30.720231261659595), (110186, 45.57491689156134), (113407, 65.90468349794331), (153522, 3362.067785343774)]"
E:/CHTPT_code_me/static/Boat/Boat10.wav,"[46.81118, 44.734573, 45.494328, 45.338787, 45.360966, 45.99368, 45.423622]","[13.17146954581488, 12.120836600661278, 11.323000790573479, 9.69616324152975, 9.32820928606989, 9.293517846769342, 10.425525656457813]","[48.98866213151928, 46.25850340136054, 46.557823129251695, 46.68480725623583, 49.17006802721089, 49.00680272108844, 46.25511843673872]","[(810, 2659.700861297787), (24702, 67.96717224749118), (44133, 40.02298856069459), (66405, 28.003028985404242), (110217, 40.022988560694564), (129648, 67.96717224749119), (153540, 2659.700861297787)]"
E:/CHTPT_code_me/static/Boat/Boat11.wav,"[46.722633, 46.64468, 44.45349, 44.955715, 45.702324, 45.597046, 46.043114]","[11.397390417364795, 10.450476117520815, 9.16584978501002, 9.176657210281562, 9.34865302184508, 10.138172097504139, 7.773727707431784]","[46.439909297052154, 49.46938775510205, 46.33560090702949, 47.42857142857143, 47.24263038548753, 46.78458049886621, 48.00640128544031]","[(816, 2788.913559344563), (25714, 73.35333934959117), (44424, 39.85058660655312), (66382, 21.707872713877002), (109926, 39.85058660655312), (128636, 73.35333934959115), (153534, 2788.913559344563)]"
E:/CHTPT_code_me/static/Boat/Boat12.wav,"[45.850906, 45.01126, 44.27329, 44.519833, 45.900322, 44.435123, 43.9968]","[9.45236419522485, 9.483711653766001, 10.99791066676733, 8.43318052835197, 10.504134741633953, 10.97178169348765, 9.427366385075619]","[49.419501133786845, 52.621315192743765, 49.73696145124716, 46.653061224489804, 51.1609977324263, 48.38095238095238, 52.47823044627585]","[(817, 3446.683459612976), (25476, 63.65251109956436), (44574, 42.611925893461994), (67034, 26.35958259706006), (109776, 42.611925893461994), (128874, 63.6525110995644), (153533, 3446.683459612976)]"
E:/CHTPT_code_me/static/Boat/Boat13.wav,"[43.47707, 45.7243, 43.904766, 45.595703, 43.79397, 43.138126, 43.757687]","[10.600707295545659, 10.352418341097378, 10.3944150026932, 10.670711073492255, 10.46404620408014, 9.1411945166155, 12.765287477079601]","[46.59410430839003, 50.91156462585034, 44.98412698412698, 43.13378684807256, 42.43990929705216, 45.750566893424036, 45.78798009640802]","[(815, 3038.64222033119), (24130, 55.1880768422542), (45455, 43.1744773231941), (87363, 24.20850989747879), (108895, 43.17447732319406), (130220, 55.1880768422542), (153535, 3038.6422203311904)]"
E:/CHTPT_code_me/static/Boat/Boat14.wav,"[44.89192, 46.26636, 45.917587, 46.06674, 42.827496, 45.79976, 42.46956]","[11.464196102027673, 10.366143017918581, 11.602964377061653, 10.229687632194587, 12.363989636027586, 9.889847828474428, 11.988754605963116]","[50.59410430839002, 51.27891156462585, 53.4421768707483, 51.70068027210885, 51.002267573696145, 48.725623582766445, 47.40838646141088]","[(817, 3174.8272138426714), (22795, 54.81926414200322), (44867, 35.68366481806651), (69151, 21.680128813314475), (109483, 35.68366481806649), (131555, 54.81926414200324), (153533, 3174.8272138426714)]"
E:/CHTPT_code_me/static/Boat/Boat15.wav,"[45.532486, 44.463516, 46.137863, 44.66905, 44.042503, 45.49793, 44.162357]","[10.07586120051497, 9.440485564049421, 9.907710149751178, 10.491773481408018, 9.487760025409184, 9.061331504822842, 11.243328308531394]","[52.11791383219955, 41.50566893424036, 49.34693877551021, 47.51020408163266, 46.2766439909297, 47.75056689342404, 45.44653501269891]","[(817, 4637.497968363351), (23223, 63.907915088621145), (44874, 41.04904680304627), (87023, 23.06083152368376), (109476, 41.04904680304629), (131127, 63.907915088621145), (153533, 4637.497968363351)]"
E:/CHTPT_code_me/static/Boat/Boat2.wav,"[46.14537, 46.70548, 46.524822, 45.96888, 45.995274, 46.16213, 44.199085]","[10.526255656813467, 9.876995582488322, 10.164834227699819, 9.017827159204032, 9.85332596437296, 10.903653831476168, 10.093804472957604]","[51.31972789115646, 46.480725623582764, 47.827664399092974, 48.770975056689345, 52.45351473922902, 55.609977324263035, 50.94982636189292]","[(824, 3755.134897902572), (25236, 75.76778962782863), (47718, 48.36765047468057), (67220, 36.27568311835179), (106632, 48.36765047468058), (129114, 75.76778962782863), (153526, 3755.134897902572)]"
E:/CHTPT_code_me/static/Boat/Boat3.wav,"[44.412678, 43.958622, 45.678352, 46.669468, 46.19187, 46.416203, 46.125244]","[9.613868713292272, 9.34794883332437, 10.765086097775825, 13.087634515250102, 11.715620343706437, 10.78751039347567, 11.31937439065604]","[53.945578231292515, 53.24716553287982, 48.739229024943306, 52.74829931972789, 51.50566893424036, 48.997732426303855, 50.84940133727259]","[(827, 3621.898600855289), (23911, 65.60703458760347), (51070, 44.30991813473034), (66446, 33.585815753603384), (103280, 44.309918134730324), (130439, 65.60703458760342), (153523, 3621.8986008552897)]"
E:/CHTPT_code_me/static/Boat/Boat4.wav,"[47.71199, 46.66292, 45.78745, 45.711155, 45.809986, 45.593822, 46.504345]","[11.72071797610802, 11.66242676831427, 12.753464272689252, 10.165211345468249, 11.386083607517538, 10.498977558399062, 10.920507556736647]","[52.63492063492063, 52.22675736961451, 46.167800453514744, 48.662131519274375, 47.88662131519275, 51.25170068027211, 50.270823614782564]","[(824, 3637.6633032223854), (30112, 61.20034488478592), (52298, 37.230199956072376), (68722, 27.771559018695175), (102052, 37.230199956072376), (124238, 61.20034488478593), (153526, 3637.663303222386)]"
